id;housing_vehicle_item_status;housing_vehicle_item_plate;housing_vehicle_item_type;housing_vehicle_item_fipe_code;housing_vehicle_item_year;housing_vehicle_item_fuel;housing_vehicle_item_branch;housing_vehicle_item_model;housing_vehicle_item_fuel_abbreviation;housing_vehicle_item_reference_month;housing_vehicle_item_value;housing_vehicle_item_shipping_value;housing_id
1;APPROVED;bluetooth Macio Bedfordshire;OTHER;open-source;marinho marca;Account Costa Pizza;Algodão cross-platform synthesize;Birr;attitude capacitor San;Program;31068;66874;1
2;CANCELLED;connecting;OTHER;synthesize synergize;Account Guatemala Computadores;Brunei;XML Toalhas;compressing;Buckinghamshire Teclado;Rústico;6950;26048;2
3;DISAPPROVED;Quality discrete Automotivo;CAR;Bacon maximize;Horizontal deposit deploy;Eritreia Avon JBOD;Directives parsing Travessa;Salsicha;Factors firewall;Officer;23649;83958;3
4;DISAPPROVED;cinza withdrawal Congelado;CAR;capacity;prata Global vermelho;users Aço;override Automotivo Customer;Product Crianças;complexity;payment system;94224;8241;4
5;DISAPPROVED;portal Sharable Optional;TRUCK;Granito Planner innovative;Senior optimize;Engineer;Livros;Versatile;HTTP lilás;IB array Martinica;86812;19171;5
6;CANCELLED;deliverables vortals Sabonete;MOTORBIKE;multi-byte backing;Gostoso Panamá;application didactic well-modulated;Representative Computador;Pará Alameda frictionless;Benin Account digital;Developer Cambridgeshire Administrator;17297;48923;6
7;DISAPPROVED;Intranet scale;MOTORBIKE;optimize port Sul;turn-key quantify programming;Avenida applications;Luvas;Salsicha;Kwacha solid;Verde Global dot-com;36233;69838;7
8;APPROVED;program front-end;TRUCK;Account program;Auto;Kenyan engineer;Bola;seamless;leverage SMS;SMS SQL Avon;36631;94378;8
9;APPROVED;EXE;OTHER;invoice;eyeballs tertiary Federal;Turismo Central knowledge;Metrics;Computador Berkshire payment;Fresco Bedfordshire;national Roupas CFA;46336;34120;9
10;CANCELLED;Música generation Creative;CAR;Forward Computador Lindo;Aço microchip;payment;HDD Convertible Bicicleta;Plástico Future;reboot Account;Roraima SDD Rodovia;52771;84934;10
