id;supplier_name;supplier_number;supplier_postal_code;supplier_address;supplier_address_complement;supplier_address_number;supplier_address_neighborhood;supplier_telephone;supplier_email;supplier_contact_name;affiliates_id;cities_id;service_provided_id
1;circuit even-keeled;XML Ergonomic;implement;end-to-end Dynamic Lek;Dynamic Borracha;71236;District;Saúde Rua Sem;Catarina generating;index Barém withdrawal;1;1;1
2;preto esmeralda artificial;Pizza Avon;Automated;Ceará Mesa salmão;Coordinator portals navigating;82620;Pequeno microchip Mercearia;Proactive logistical;Interactions intermediate Concreto;Cadeira;2;2;2
3;haptic regional;algorithm Prático Account;Maranhão;azul supply-chains Account;Metal;5747;e-business;invoice;Expanded;payment Marginal Buckinghamshire;3;3;3
4;Queijo cultivate transparent;Designer copying Bacon;Executive;JSON Account;wireless Fresco connecting;42716;firewall Plástico;blockchains National;Tailândia withdrawal;infrastructures ROI;4;4;4
5;Maiote Djibouti Singapura;compressing magenta Borders;card;Borders;parsing Berkshire;89993;SQL;fuligem Chapéu Operations;Virtual panel Buckinghamshire;override;5;5;5
6;Macao Licenciado;directional Refinado;unleash S;monitor;feed Planner;85039;Travessa;Aço SDD;Human cross-platform engage;Sol National Architect;6;6;6
7;Aço Avenida convergence;Somoni Rústico models;Camiseta ;analyzer;Automated;55211;JSON interface;Dynamic;Buckinghamshire synergy;primary real-time;7;7;7
8;Berkshire Peso Real;full-range;Fantástic;Atum disintermediate compressing;e-services;87558;deposit B2B Rua;hacking Bélgica Jardim;program quantifying open-source;transparent;8;8;8
9;invoice Roupas index;FTP Impressionante Norfolk;Sapatos S;Lead Designer;Customizable indexing pixel;80126;Chief;cinza;bifurcated;optical Group;9;9;9
10;International GB;Cambridgeshire technologies Technician;invoice B;programming Cambridgeshire Agent;Genérico;52110;Dollar Loan;celeste;Accountability digital;project compress Congelado;10;10;10
