id;active;parking_name;parking_trade_name;parking_number;parking_postal_code;parking_address;parking_address_complement;parking_address_number;parking_address_neighborhood;parking_telephone;parking_email;parking_contact_name;affiliates_id;cities_id
1;true;Investor synergize;Borders Savings Carro;Borders portal Central;magenta p;non-volatile SQL;Self-enabling;25214;Future;AI amarelo Calças;Metal Federal brand;solutions El;1;1
2;true;Functionality;Inteligente card;Francesa;channels ;withdrawal multi-byte SDD;Peixe Configuration;65373;Bahamian Administrator transition;Fantástico;Customer;ferrugem AGP;2;2
3;false;User-friendly high-level;Facilitator;Dynamic Accountability neural;Rústico T;Consultant;productize Metal overriding;4333;Bola Personal;back-end Jogos Nigéria;parse empowering Lempira;capacity Canadá Aço;3;3
4;true;Account Fantástico Planner;XML District;Marginal;Concreto;withdrawal Saint Sapatos;support;52786;alliance Interactions;quantify Account;International;parsing AGP navigate;4;4
5;true;transmitter Bicicleta Rua;Automated Mandatory;Dollar roxo;brand Rod;complexity Santa;customized;877;Marginal Qatari;Associate;Usability;Quiribati TCP;5;5
6;false;hour;Buckinghamshire Rio Account;Paradigm Lek withdrawal;Congolese;systems;Legacy violeta Micronésia;97407;Computadores;world-class Alameda;bus extend Carro;Operative Inteligente THX;6;6
7;false;Dollar;Porto portals;bi-directional Investment;Santo;Lustroso;wireless;56628;open-source superstructure;facilitate Jóias connect;Sao Robust Paraná;Paraíba users;7;7
8;true;Lempira;quantify celeste;Upgradable Card facilitate;programmi;AGP;Account;69345;Franc;Silver National;real-time;RAM;8;8
9;true;Argentina infrastructures;Alameda Global;Peixe;calculate;index Bedfordshire;Cambridgeshire;89408;innovative Alameda web-readiness;synthesizing navigate visionary;Bicicleta;Berkshire azul Prático;9;9
10;true;interface Identity;open-source Bacon Consultant;open-source SSL;Peso Indu;Fresco Salgadinhos;index;55672;communities Impressionante users;Rússia Bedfordshire;web-enabled;Chapéu Roraima Marginal;10;10
