id;status_name;screen_type;status_descriptions;affiliates_id
1;Roraima Eletrônicos Rua;HOUSING;Aço;1
2;Account;HOUSING;Re-engineered petróleo;2
3;Lindo SSL architectures;EMPLOYEE;virtual Intranet optimize;3
4;partnerships Checking up;VEHICLE_CONTROL;Espírito;4
5;Pre-emptive back-end Producer;HOUSING;syndicate Jogos Bedfordshire;5
6;Cambridgeshire;QUOTATION;productivity;6
7;bi-directional;EMPLOYEE;utilize Dollar Aço;7
8;Granada leading-edge Genérico;QUOTATION;District;8
9;Implementation;EMPLOYEE;Rufiyaa Marketing;9
10;explicit;CUSTOMERS;Savings Account;10
