id;vehicle_control_status;vehicle_control_item_plate;vehicle_control_item_type;vehicle_control_item_fipe_code;vehicle_control_item_year;vehicle_control_item_fuel;vehicle_control_item_branch;vehicle_control_item_model;vehicle_control_item_fuel_abbreviation;vehicle_control_item_reference_month;vehicle_control_item_value;vehicle_control_item_shipping_value;vehicle_control_item_cte;vehicle_control_item_cte_date;vehicle_controls_id
1;DISAPPROVED;Tuvalu Ameliorated;MOTORBIKE;vermelho;Avon Peso architect;Sapatos;AI Borracha;wireless mão enable; madeira;invoice plug-and-play;38462;5476;Account;2021-09-02;1
2;APPROVED;strategic;MOTORBIKE;Guiné;Paraná Innovative;content;Integration edge Bola;interface;calculating Catarina Mesa;expedite;10518;56861;THX Metal Congelado;2021-09-02;2
3;DISAPPROVED;verde-azulado systemic;OTHER;Executive Singapore;Investment Borders;Market;overriding Genérico;IB Camiseta Program;Operations bordô;brand madeira;32441;44093;do;2021-09-02;3
4;APPROVED;Genérico;OTHER;Brinquedos Impressionante Borracha;China copy;Producer Account Graphical;Gerais dynamic Security;Human Dynamic;input Ceará;defect Música;34283;38629;internet digital Sapatos;2021-09-02;4
5;DISAPPROVED;infrastructure;MOTORBIKE;Filmes auxiliary;Reactive synthesizing;Brand Montserrat;turquesa;Bebê;marrom Madeira Borders;Etiópia enhance Uruguai;57223;98915;Sabonete Agent Mercearia;2021-09-02;5
6;PENDENT;generate Ceará;TRUCK;Avon Sri Paraná;Livros;mão Avon Checking;Account 24/365;extend archive synergies;fresh-thinking;Optimization interface;47240;64631;Leone Virtual ouro;2021-09-02;6
7;CANCELLED;Peixe Data PCI;MOTORBIKE;Maranhão compelling Inteligente;Avenida markets verde;synthesize asymmetric Refinado;Consultant deposit parse;National deposit Lindo;Licenciado;Legacy Up-sized Palladium;26758;80990;Pizza microchip Agent;2021-09-02;7
8;CANCELLED;Gostoso;CAR;matrix Rua bandwidth;Lustroso invoice;Marginal;markets deposit;blockchains Chapéu;Guernesey;Cambridgeshire Home;62448;91958;hacking connecting Metrics;2021-09-03;8
9;DISAPPROVED;index Security;OTHER;out-of-the-box Roupas;Marginal Bebê Loan;deposit sensor;interface Concreto;Swedish;laranja PNG;Algodão;57543;99506;networks;2021-09-02;9
10;DISAPPROVED;Sul Etiópia;CAR;Avon;Agent;Riel visionary;Sergipe Account schemas;invoice array Camiseta;XML Adaptive;Rua;18795;34930;Paraíba Feito;2021-09-02;10
