id;company_name;trade_name;company_number;postal_code;company_address;company_address_complement;company_address_number;company_address_neighborhood;company_telephone;company_email;responsible_contact;cities_id;state_provinces_id
1;input;IB Avon;Uganda Líbano;mission-c;bluetooth engineer;IB;58185;ADP Catarina workforce;infrastructures deposit;Sabonete;Rupee RAM Product;1;1
2;Account functionalities;Avon;B2C;Iêmen Ser;optical Cadeira;fúchsia Refinado Advanced;47087;Sem framework program;Marketing Lindo;Sapatos e-services;Atum Pa'anga;2;2
3;Cadeira Decentralized;Teclado;Rua Future;Cambridge;Refinado Robust;Qatari Distrito;81329;deposit Berkshire Borders;Prático;Regional Paradigm Zambian;Avon;3;3
4;Aço;Groelândia Account blockchains;Avon synthesize Applications;Beleza ca;Incrível convergence generating;compressing;77398;Incrível;generate Minas Seamless;Congelado Borders Tunísia;quantify Configuration Paraná;4;4
5;Casa;invoice Director;alarm;Computado;primary;laranja mobile navigate;75089;Account Usability Customer;Sapatos;Devolved Kip;National Technician Inverse;5;5
6;Mobility;demand-driven;Turismo;Aço Card ;mobile Brunei Piauí;aggregate SDD;68054;database;ouro;Algodão;generate Bicicleta Dynamic;6;6
7;generate copying Gostoso;Loan Lindo iterate;Cadeira rosa;wireless ;Dollar Pernambuco Marginal;card;81517;deploy benchmark;withdrawal;Creative Customer intangible;Marginal Salsicha;7;7
8;Gostoso;Configuration paradigm Integration;Mato Ergonômico navigate;groupware;bluetooth facilitate deliver;Rupee;17869;Mouse;Amapá;cinza Taiwan online;Robust program;8;8
9;wireless;solid;COM strategic;even-keel;application Brinquedos;invoice Organic Producer;46238;Pernambuco;Borders up generating;e-business Metal invoice;parsing das;9;9
10;Sul Marketing;Coordinator Maurícia;azul;Stand-alo;Granito;exuding invoice Goiás;81077;Executive haptic;optimizing salmão;orchestrate;Administrator JSON Alameda;10;10
