id;branch_name;branch_number;use_same_company_address;branch_postal_code;branch_address;branch_address_complement;branch_address_number;branch_address_neighborhood;branch_telephone;branch_email;responsible_contact;state_provinces_id;cities_id;companies_id
1;Planner;Multi-channelled;false;dedicated;extranet Libéria;Crianças;5383;toolset Marginal;Travessa Avenida;enable Mobility Bahia;bluetooth;1;1;1
2;Operations productivity bypass;Frango;false;Rodovia A;compress SQL;open-source vermelho Equador;41408;best-of-breed Credit;optical digital;Venezuela online;Roraima;2;2;2
3;1080p Svalbard empower;Genérico;true;hybrid Co;Jersey parse networks;Refinado;38543;Checking;lilás;Bola;hardware redundant Home;3;3;3
4;interface Borracha;Fresco;false;payment w;Borders;Fantástico;31805;USB;superstructure Chief;alarm Queijo;Israel bluetooth;4;4;4
5;infrastructure;deposit THX;true;radical;Analyst solution-oriented;drive;43028;online Account Rua;Salgadinhos exuding architecture;Synergistic FTP Bacon;Metal Data concept;5;5;5
6;São Brinquedos indexing;Dynamic e-enable;true;cross-pla;Supervisor leverage throughput;Card programming payment;55033;Plástico;impactful do Travessa;backing Ergonômico multimedia;Strategist;6;6;6
7;front-end Configuration Incrível;TCP extend;true;Fresco re;optical Mouse;Creative;98747;iterate array;Pequeno;open-source Singapura;Account Coordinator;7;7;7
8;bandwidth;grow markets repurpose;true;Regional;generating sexy ubiquitous;syndicate haptic;93498;Avon primary Feito;Toalhas infomediaries Bebê;Accounts;Architect;8;8;8
9;Buckinghamshire;markets;true;Dynamic T;copying XML Customer;Rodovia programming;18917;Borracha task-force Research;streamline rich;function Guarani;Borders Lustroso Alagoas;9;9;9
10;bordô Forward;redundant Loan;true;calculati;Pequeno generating bifurcated;exploit Salada;35383;hour transition Borracha;Optimization;Borders core Macio;Atum Impressionante Uzbekistan;10;10;10
